Transaction_ID,Amount,Merchant,Category,User_ID,Timestamp,Location,Payment_Method,Hour_of_Day,Is_Night_Transaction,Is_High_Amount,Amount_Log,Category_Risk_Score,Is_Foreign
TXN001,1250.5,Amazon,E-commerce,USER001,2024-01-15T14:30:00.000Z,New York US,credit_card,20,0,1,7.132098110871829,0.5,0
TXN002,25000,ATM Withdrawal,ATM,USER002,2024-01-15T02:15:00.000Z,Lagos Nigeria,debit_card,7,0,1,10.12667110305036,0.8,1
TXN003,89.99,Starbucks,Food,USER003,2024-01-15T08:45:00.000Z,Seattle US,digital_wallet,14,0,0,4.5107496103686,0.3,0
TXN004,15000.75,Online Casino,Online,USER004,2024-01-15T23:30:00.000Z,Moscow Russia,credit_card,5,1,1,9.615922139945987,0.7,0
TXN005,45.2,Shell Gas Station,Gas,USER005,2024-01-15T16:20:00.000Z,Dallas US,debit_card,21,0,0,3.832979798087693,0.6,0
TXN006,500,Walmart,Retail,USER006,2024-01-15T12:00:00.000Z,Chicago US,credit_card,17,0,0,6.2166061010848646,0.4,0
TXN007,8500,Luxury Store,Retail,USER007,2024-01-15T03:45:00.000Z,Dubai UAE,credit_card,9,0,1,9.04793908261736,0.4,1
TXN008,12.99,Netflix,Online,USER008,2024-01-15T19:30:00.000Z,London UK,digital_wallet,1,1,0,2.63834278867739,0.7,1
TXN009,750.25,Best Buy,Retail,USER009,2024-01-15T11:15:00.000Z,Los Angeles US,credit_card,16,0,0,6.621738485849417,0.4,0
TXN010,35000,Wire Transfer,ATM,USER010,2024-01-15T01:00:00.000Z,Beijing China,bank_transfer,6,1,1,10.463131911491967,0.8,1
